question,option 1,option 2,option 3,options 4,answer,hasImage,ref,difficulty
What is the largest urban park in NYC?,Times Square,Manhattan Park,Central Park,Rockefeller Park,Central Park,TRUE,https://media.istockphoto.com/id/1207129168/photo/aerial-view-of-manhattan-new-york-looking-south-up-central-park.jpg?s=612x612&w=0&k=20&c=firZC0uXM842ZHfRknYFBJGg6W6eDFp27uN4WipdGA4=,easy
Where is Brooklyn?,1,2,3,4,2,TRUE,https://upload.wikimedia.org/wikipedia/commons/1/1a/5_Boroughs_Labels_New_York_City_Map_Julius_Schorzman.png,easy
Where is Manhattan?,1,2,3,4,1,TRUE,https://upload.wikimedia.org/wikipedia/commons/1/1a/5_Boroughs_Labels_New_York_City_Map_Julius_Schorzman.png,easy
Where is the Bronx?,1,2,3,4,4,TRUE,https://upload.wikimedia.org/wikipedia/commons/1/1a/5_Boroughs_Labels_New_York_City_Map_Julius_Schorzman.png,easy
Where is Queens?,2,3,4,5,2,TRUE,https://upload.wikimedia.org/wikipedia/commons/1/1a/5_Boroughs_Labels_New_York_City_Map_Julius_Schorzman.png,easy
Where is Staten Island,2,3,4,5,5,TRUE,https://upload.wikimedia.org/wikipedia/commons/1/1a/5_Boroughs_Labels_New_York_City_Map_Julius_Schorzman.png,easy
What river is on the west side of Manhattan?,East River,West River,Hudson River,Brooklyn River,Hudson River,FALSE,,easy
What river is on the east of Manhattan?,East River,West River,Hudson River,Brooklyn River,East River,FALSE,,
Which is not a borough of NYC?,Manhattan,Queens,Hoboken,Staten Island,Hoboken,FALSE,,easy
Which part of Manhattan is Times Square in?,Uptown,Midtown,Downtown,East Village,Midtown,FALSE,,easy
Which is not a village in NYC?,North Village,Greenwich Village,West Village,East Village,North Village,FALSE,,easy
Which river flows under Brooklyn Bridge?,Hudson River,East River,Bronx River,West River,East River,TRUE,https://www.google.com/url?sa=i&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FBrooklyn_Bridge&psig=AOvVaw3t3yiotL5cvwfMIjoegd30&ust=1670185264422000&source=images&cd=vfe&ved=0CA8QjRxqFwoTCPCV1I2j3vsCFQAAAAAdAAAAABAE,easy
In which New York City borough would someone be able to visit Flushing Meadows-Corona Park?,Manhattan,Bronx,Queens,Brooklyn,Queens,FALSE,,easy
In which part of Manhattan is Chinatown located?,Lower West Side,Upper East Side,Lower East Side,Upper West Side,Lower East Side,FALSE,,easy
What nickname is often used to describe Staten Island?,The Melting Pot,The Forgotten Borough,America's City,Empire City,The Forgotten Borough,FALSE,,easy
